selection,parent-type,node-type,child-type,count
parens,lessThan,bracketedPrimary,multiply,528
operator-precedence,conditional,not,bracketedPrimary,147
superfluous-parens,logicalOr,bracketedPrimary,minus2,7
parens,amper,bracketedPrimary,field-reference,10320
superfluous-parens,greaterEqual,bracketedPrimary,function-call,17
superfluous-parens,minusAssign,bracketedPrimary,shiftLeft,74
parens,field-reference,bracketedPrimary,prefixDecr,61
parens,tilde,bracketedPrimary,binaryOr,7215
parens,<EqualsInitializer>,bracketedPrimary,multiply,177
parens,<CaseStatement>,bracketedPrimary,bracketedPrimary,17
superfluous-parens,divide,bracketedPrimary,bracketedPrimary,23
operator-precedence,tilde,star,prefixIncr,1
parens,cast,bracketedPrimary,<LiteralExpression>,599
parens,shiftLeft,bracketedPrimary,prefixIncr,1
parens,cast,bracketedPrimary,divide,928
operator-precedence,logicalOr,not,cast,6
operator-precedence,shiftRight,not,bracketedPrimary,6
parens,cast,bracketedPrimary,logicalAnd,44
parens,function-call,bracketedPrimary,field-reference,2176
parens,field-reference,bracketedPrimary,new,43
parens,cast,bracketedPrimary,<IdExpression>,2409
parens,conditional,bracketedPrimary,field-reference,984
parens,not,bracketedPrimary,equals,1985
superfluous-parens,conditional,bracketedPrimary,<TypeIdExpression>,1
parens,logicalOr,bracketedPrimary,binaryOrAssign,1
parens,<IfStatement>,bracketedPrimary,<LiteralExpression>,11
